Topology,Observers count,Grid size,Send probability,Drop probability,Perturbation radius,Perturbation speed,Created,Forwarded,Received,ARQ replies,Avg per log per relay received,Avg per log per relay ARQ replies,Average delays,Minimum delays,Maximum delays
random,250,30,0.01,0,5,1,63,15000,650000,6500,41.27,0.41,76.89,67.43,105
random,250,30,0.01,0,5,1,55,13000,830000,16000,60.36,1.16,76.96,74.86,90.05
random,250,30,0.01,0,5,1,71,17000,1200000,24000,67.61,1.35,76.73,67.6,90.07
random,250,30,0.01,0,5,2,65,16000,450000,5700,27.69,0.35,31.72,27.97,38.02
random,250,30,0.01,0,5,2,68,17000,490000,8000,28.82,0.47,31.72,30.47,45.5
random,250,30,0.01,0,5,2,61,15000,400000,5200,26.23,0.34,31.63,28.01,38.05
random,250,30,0.01,0,5,3,58,14000,450000,2000,31.03,0.14,25.68,21.67,35
random,250,30,0.01,0,5,3,63,16000,650000,7500,41.27,0.48,26.08,24.98,35.01
random,250,30,0.01,0,5,3,61,15000,650000,7200,42.62,0.47,25.78,22.5,35
random,250,30,0.01,0,5,4,74,18000,450000,3500,24.32,0.19,15.95,11.65,23.01
random,250,30,0.01,0,5,4,64,16000,330000,1200,20.63,0.08,16.29,15.49,23.01
random,250,30,0.01,0,5,4,50,12000,300000,2000,24,0.16,15.94,11.68,23
random,250,30,0.01,0,5,5,70,17000,520000,2200,29.71,0.13,15.26,13.49,21
random,250,30,0.01,0,5,5,71,18000,540000,2800,30.42,0.16,15.43,15,21
random,250,30,0.01,0,5,5,81,20000,600000,1600,29.63,0.08,15.5,12,21
random,250,30,0.01,0,5,6,66,16000,340000,1300,20.61,0.08,10.83,9.67,15.5
random,250,30,0.01,0,5,6,62,15000,320000,760,20.65,0.05,10.81,9.67,15.5
random,250,30,0.01,0,5,6,53,13000,260000,280,19.62,0.02,10.88,8.01,15.5
random,250,30,0.01,0,5,7,64,16000,310000,410,19.38,0.03,9.26,8.33,13
random,250,30,0.01,0,5,7,58,14000,270000,0,18.62,0,9.19,9,13
random,250,30,0.01,0,5,7,70,17000,370000,1900,21.14,0.11,9.3,7,11
random,250,30,0.01,0,5,8,68,17000,320000,450,18.82,0.03,8.32,7.33,12
random,250,30,0.01,0,5,8,74,18000,420000,1500,22.7,0.08,8.22,6,12
random,250,30,0.01,0,5,8,56,14000,300000,980,21.43,0.07,8.23,7.33,10.01
random,250,30,0.01,0,5,9,57,14000,380000,55,26.67,0,8.79,7.75,12
random,250,30,0.01,0,5,9,51,13000,370000,420,29.02,0.03,8.87,7.75,12
random,250,30,0.01,0,5,9,71,18000,570000,2800,32.11,0.16,8.85,7.75,12
random,250,30,0.01,0,5,10,64,16000,300000,260,18.75,0.02,6.74,6.5,8
random,250,30,0.01,0,5,10,66,17000,330000,0,20,0,6.72,5,9.5
random,250,30,0.01,0,5,10,80,20000,430000,1400,21.5,0.07,6.76,6,8.01
normal,125,30,0.01,0,5,1,31,3800,1200000,15000,309.68,3.87,77.72,75,105.06
normal,125,30,0.01,0,5,1,37,4500,450000,2600,97.3,0.28,76.35,74.82,120
normal,125,30,0.01,0,5,1,29,3600,330000,1800,91.03,0.5,76.19,74.88,104.93
normal,125,30,0.01,0,5,2,29,3600,420000,4500,115.86,0.62,31.3,30.5,53
normal,125,30,0.01,0,5,2,28,3500,160000,0,45.71,0,31.16,28.05,45.52
normal,125,30,0.01,0,5,2,30,3800,390000,3400,104,0.45,31.34,30.5,45.52
normal,125,30,0.01,0,5,3,23,2800,180000,2,62.61,0,25.54,25,35
normal,125,30,0.01,0,5,3,41,5000,750000,6500,146.34,0.63,25.5,22.54,35.02
normal,125,30,0.01,0,5,3,39,4800,700000,5200,143.59,1.07,25.52,24.99,39.99
normal,125,30,0.01,0,5,4,33,4100,190000,0,46.06,0,15.83,15.49,23.01
normal,125,30,0.01,0,5,4,41,5000,240000,0,46.83,0,16.03,15.5,27
normal,125,30,0.01,0,5,4,29,3600,210000,980,57.93,0.14,15.91,15.5,27
normal,125,30,0.01,0,5,5,21,2600,160000,0,60.95,0,15.36,15,21
normal,125,30,0.01,0,5,5,41,5000,530000,3700,103.41,0.36,15.25,15,19.02
normal,125,30,0.01,0,5,5,38,4700,290000,0,61.05,0,15.27,15,18.02
normal,125,30,0.01,0,5,6,29,3600,190000,0,52.41,0,10.79,10.5,18
normal,125,30,0.01,0,5,6,36,4500,290000,2000,64.44,0.44,10.92,10.5,18
normal,125,30,0.01,0,5,6,37,4600,470000,4500,101.62,0.49,10.86,10.5,15.51
normal,125,30,0.01,0,5,7,36,4500,180000,0,40,0,9.11,9,11.01
normal,125,30,0.01,0,5,7,23,2800,190000,1100,66.09,0.19,9.21,9,13.01
normal,125,30,0.01,0,5,7,40,5000,450000,3200,90,0.64,9.22,9,13
normal,125,30,0.01,0,5,8,30,3700,440000,3700,117.33,0.49,8.27,7.35,14
normal,125,30,0.01,0,5,8,35,4400,490000,5000,112,1.14,8.27,7.33,12
normal,125,30,0.01,0,5,8,28,3700,450000,4700,128.57,0.67,8.23,8,14
normal,125,30,0.01,0,5,9,29,3600,630000,5500,173.79,1.52,8.8,8.6,15
normal,125,30,0.01,0,5,9,30,3700,470000,3800,125.33,0.51,8.88,8.6,15
normal,125,30,0.01,0,5,9,32,4000,310000,1100,77.5,0.28,8.92,8.6,15
normal,125,30,0.01,0,5,10,27,3300,160000,70,47.41,0.01,6.63,6.5,11
normal,125,30,0.01,0,5,10,35,4300,330000,2200,75.43,0.5,6.68,3.5,11
normal,125,30,0.01,0,5,10,33,4100,390000,2100,94.55,0.25,6.71,5,9.5
circle,125,30,0.01,0,5,1,45,5000,250000,7000,44.44,1.24,74.97,74.8,75.1
circle,125,30,0.01,0,5,1,30,3500,120000,2600,32,0.35,77.02,74.73,135
circle,125,30,0.01,0,5,1,37,4500,130000,1800,28.11,0.39,74.99,74.77,75.11
circle,125,30,0.01,0,5,2,30,3700,65000,200,17.33,0.03,30.5,30.5,30.5
circle,125,30,0.01,0,5,2,27,3300,68000,800,20.15,0.24,30.5,30.45,30.55
circle,125,30,0.01,0,5,2,37,4500,90000,950,19.46,0.1,30.48,30.45,30.5
circle,125,30,0.01,0,5,3,30,3700,105000,1300,28,0.35,25,25,25
circle,125,30,0.01,0,5,3,30,4000,115000,1600,30.67,0.21,25,25,25
circle,125,30,0.01,0,5,3,36,4500,130000,1700,28.89,0.38,25,25,25.04
circle,125,30,0.01,0,5,4,27,3300,65000,490,19.26,0.07,15.5,15.5,15.5
circle,125,30,0.01,0,5,4,32,4000,70000,220,17.5,0.06,15.5,15.5,15.5
circle,125,30,0.01,0,5,4,39,4900,90000,490,18.46,0.05,15.5,15.5,15.5
circle,125,30,0.01,0,5,5,30,3700,85000,340,22.67,0.09,15,15,15
circle,125,30,0.01,0,5,5,31,3800,89000,350,22.97,0.05,15,15,15
circle,125,30,0.01,0,5,5,23,2800,60000,0,20.87,0,15,15,15
circle,125,30,0.01,0,5,6,27,3300,60000,240,17.78,0.04,10.5,10.5,10.5
circle,125,30,0.01,0,5,6,26,3200,55000,0,16.92,0,10.5,10.5,10.5
circle,125,30,0.01,0,5,6,32,3800,68000,200,17,0.03,10.5,10.5,10.5
circle,125,30,0.01,0,5,7,23,2800,48000,0,16.7,0,9,9,9
circle,125,30,0.01,0,5,7,31,4800,64000,0,16.52,0,9,9,9
circle,125,30,0.01,0,5,7,29,3600,64000,200,17.66,0.06,9,9,9
circle,125,30,0.01,0,5,8,30,3700,63000,0,16.8,0,8,8,8
circle,125,30,0.01,0,5,8,22,2700,46000,0,16.73,0,8,8,8
circle,125,30,0.01,0,5,8,33,4100,77000,530,18.67,0.06,8,8,8
circle,125,30,0.01,0,5,9,36,4500,105000,550,23.33,0.12,8.6,8.6,8.6
circle,125,30,0.01,0,5,9,36,4500,110000,740,24.44,0.08,8.6,8.6,8.6
circle,125,30,0.01,0,5,9,33,4100,93000,340,22.55,0.08,8.6,8.6,8.6
circle,125,30,0.01,0,5,10,34,4500,83000,700,19.53,0.08,6.5,6.5,6.5
circle,125,30,0.01,0,5,10,35,4300,75000,180,17.14,0.04,6.5,6.5,6.5
circle,125,30,0.01,0,5,10,36,4500,80000,380,17.78,0.04,6.5,6.5,6.5
grid,250,30,0.01,0,5,1,64,15000,500000,5000,31.25,0.31,80.29,55,95
grid,250,30,0.01,0,5,1,57,13000,540000,8000,37.89,0.56,80.27,55,95
grid,250,30,0.01,0,5,1,54,13000,600000,10500,44.44,0.78,80.28,55,95
grid,250,30,0.01,0,5,2,60,14500,370000,3600,24.67,0.24,34.42,22.98,38
grid,250,30,0.01,0,5,2,60,14500,380000,4500,25.33,0.3,34.43,23,38.02
grid,250,30,0.01,0,5,2,66,16000,410000,3700,24.85,0.22,34.43,23,38
grid,250,30,0.01,0,5,3,59,14500,460000,3000,31.19,0.2,26.77,18.33,31.67
grid,250,30,0.01,0,5,3,53,13000,410000,2800,30.94,0.21,26.77,18.33,31.67
grid,250,30,0.01,0,5,3,60,15000,460000,2800,30.67,0.19,26.77,18.33,31.67
grid,250,30,0.01,0,5,4,55,14000,370000,4200,26.91,0.31,17.57,11.5,19.5
grid,250,30,0.01,0,5,4,65,16000,370000,1300,22.77,0.08,17.57,11.5,19.5
grid,250,30,0.01,0,5,4,61,15000,380000,2800,24.92,0.18,17.57,11.5,19.5
grid,250,30,0.01,0,5,5,52,13000,430000,3100,33.08,0.24,16.06,11,19
grid,250,30,0.01,0,5,5,68,16000,560000,5200,32.94,0.31,16.06,11,19
grid,250,30,0.01,0,5,5,61,15000,430000,1300,28.2,0.09,16.06,11,19
grid,250,30,0.01,0,5,6,64,16000,340000,670,21.25,0.04,11.81,8,13
grid,250,30,0.01,0,5,6,59,12000,250000,240,16.95,0.02,11.81,8,13
grid,250,30,0.01,0,5,6,63,16000,350000,1300,22.22,0.08,11.81,8,13
grid,250,30,0.01,0,5,7,49,13000,250000,0,20.41,0,10.05,7,11
grid,250,30,0.01,0,5,7,69,17000,360000,200,20.87,0.01,10.05,7,11
grid,250,30,0.01,0,5,7,54,13000,28000,160,2.07,0.01,10.05,7,11
grid,250,30,0.01,0,5,8,57,14000,310000,750,21.75,0.05,9.05,6,10
grid,250,30,0.01,0,5,8,74,18000,390000,650,21.08,0.04,9.05,6,10
grid,250,30,0.01,0,5,8,56,14000,300000,700,21.43,0.05,9.05,6,10
grid,250,30,0.01,0,5,9,64,16000,460000,1900,28.75,0.12,9.15,6.33,10.67
grid,250,30,0.01,0,5,9,61,15000,400000,400,26.23,0.03,9.15,6.33,10.67
grid,250,30,0.01,0,5,9,65,16000,450000,1300,27.69,0.08,9.15,6.33,10.67
grid,250,30,0.01,0,5,10,80,20000,430000,390,21.5,0.02,7.29,5,8
grid,250,30,0.01,0,5,10,62,15500,330000,800,21.29,0.05,7.29,5,8
grid,250,30,0.01,0,5,10,62,15500,320000,160,20.65,0.01,7.29,5,8
